source,time,yaw,pitch,roll,altitude,lat,lng,relative_alt,pointing_a,pointing_b,pointing_c
AHRS2,,0.8727841973304749,0.30987799167633057,-0.04914216324687004,0.0,0.0,0.0,,,,
AHRS3,,0.7833042740821838,0.30232521891593933,-0.04780963435769081,716.0,48.5602642,35.0984568,,,,
GLOBAL_POSITION_INT,810.355,,,,,48.5602642,35.0984568,658.309,,,
GPS_RAW_INT,810.555,0.0,,,,48.560247399999994,35.098452,,,,
GPS2_RAW,810.555,0.0,,,,48.560247399999994,35.098452,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-439.0
ATTITUDE,810.775,0.798524022102356,0.3156159818172455,-0.0667148232460022,,,,,,,
AHRS2,,0.8866187334060669,0.3231660723686218,-0.06442803144454956,0.0,0.0,0.0,,,,
AHRS3,,0.798524022102356,0.3156159818172455,-0.0667148232460022,717.0,48.560292399999994,35.0984597,,,,
GLOBAL_POSITION_INT,810.754,,,,,48.5602945,35.0984599,659.3340000000001,,,
GPS_RAW_INT,810.754,0.0,,,,48.5602692,35.0984543,,,,
GPS2_RAW,810.755,0.0,,,,48.5602692,35.0984543,,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-438.0
ATTITUDE,811.0550000000001,0.8285284042358398,0.31500107049942017,-0.047351282089948654,,,,,,,
AHRS2,,0.9172979593276978,0.32251423597335815,-0.04430541768670082,0.0,0.0,0.0,,,,
AHRS3,,0.8285284042358398,0.31500107049942017,-0.047351282089948654,718.0,48.560322899999996,35.0984625,,,,
GPS_RAW_INT,810.9549999999999,0.0,,,,48.560291,35.0984565,,,,
GPS2_RAW,810.956,0.0,,,,48.560291,35.0984565,,,,
GLOBAL_POSITION_INT,810.955,,,,,48.5603273,35.0984629,660.5,,,
MOUNT_STATUS,,,,,,,,,49.0,-7.0,-436.0
GPS_RAW_INT,811.1719999999999,0.0,,,,48.5603127,35.0984587,,,,
GPS2_RAW,811.1719999999999,0.0,,,,48.5603127,35.0984587,,,,
